content_id,title,artist,status,quality_score,expected_duration_sec,actual_duration_sec,duration_delta_sec,file_size_bytes,file_ext,sha256,resolved_file,warnings,errors
-43391401_167929740,PAGE 48,EXERCICES AUDIO DE GRAMMAIRE,ok,100,328,327.990622,0.009378000000026532,5490728,.ts,a619279156ff56866a6feda9397d8c64e5d41ad76933574b97b97a4714c1ba41,C:\Users\HP Pro Book\Desktop\vk\downloads\0035_EXERCICES AUDIO DE GRAMMAIRE_PAGE 48.ts,,
-43391401_167929605,PAGE 47,EXERCICES AUDIO DE GRAMMAIRE,ok,100,246,246.019089,0.019089000000008127,4120584,.ts,1de3f9f10680e764a20b25bcd2254b57b78edb56547edaea54ea2e7d5529b2d4,C:\Users\HP Pro Book\Desktop\vk\downloads\0036_EXERCICES AUDIO DE GRAMMAIRE_PAGE 47.ts,,
-43391401_167929496,PAGE 46,EXERCICES AUDIO DE GRAMMAIRE,ok,100,294,294.946011,0.9460109999999986,4933496,.ts,c39575a4bd7af28acb32f3f9c683aa5fcd0a9773356052afc78ba3496acd1c93,C:\Users\HP Pro Book\Desktop\vk\downloads\0037_EXERCICES AUDIO DE GRAMMAIRE_PAGE 46.ts,,
-43391401_167900078,PAGE 45,EXERCICES AUDIO DE GRAMMAIRE,ok,100,253,252.9676,0.032399999999995543,4231880,.ts,02640f494e2c4f0ac6ae4dd970bb0bd17bbfb633056d112e44e27c2244c7bd60,C:\Users\HP Pro Book\Desktop\vk\downloads\0038_EXERCICES AUDIO DE GRAMMAIRE_PAGE 45.ts,,
-43391401_167899962,PAGE 44,EXERCICES AUDIO DE GRAMMAIRE,ok,100,298,297.923944,0.07605599999999413,4984632,.ts,d111d60143154378efd65c17d338913a83ecc89accc6abdfff48b6478da62cd2,C:\Users\HP Pro Book\Desktop\vk\downloads\0039_EXERCICES AUDIO DE GRAMMAIRE_PAGE 44.ts,,
-43391401_167899836,PAGE 43,EXERCICES AUDIO DE GRAMMAIRE,ok,100,305,305.368778,0.36877800000002026,5110968,.ts,dd1fe367b0aef8d0087d8eb3831368d5fb3af37a0915cf6fc71c2ab039b3c3f0,C:\Users\HP Pro Book\Desktop\vk\downloads\0040_EXERCICES AUDIO DE GRAMMAIRE_PAGE 43.ts,,
-43391401_167899725,PAGE 42,EXERCICES AUDIO DE GRAMMAIRE,ok,100,267,266.995233,0.004767000000015287,4466880,.ts,ea57ce68c0321574bac13202c64c9258a96dcd37d7800f5e7384aa1326283015,C:\Users\HP Pro Book\Desktop\vk\downloads\0041_EXERCICES AUDIO DE GRAMMAIRE_PAGE 42.ts,,
-43391401_167899614,PAGE 41,EXERCICES AUDIO DE GRAMMAIRE,ok,100,250,249.989667,0.010333000000002812,4183752,.ts,8c9754c332c6e8e51a3ff040aa65f575d06a3081ebfdcfaf6be59e0916da75c8,C:\Users\HP Pro Book\Desktop\vk\downloads\0042_EXERCICES AUDIO DE GRAMMAIRE_PAGE 41.ts,,
-43391401_167899517,PAGE 40,EXERCICES AUDIO DE GRAMMAIRE,ok,100,258,258.352086,0.3520859999999857,4134914,.mp3,31c71578188dcc3d327ca5a02de624e262b8140cec0de1ab33ffeed5179b30f0,C:\Users\HP Pro Book\Desktop\vk\downloads\0043_EXERCICES AUDIO DE GRAMMAIRE_PAGE 40.mp3,,
-43391401_167899406,PAGE 39,EXERCICES AUDIO DE GRAMMAIRE,ok,100,283,283.373867,0.3738670000000184,4746624,.ts,18bb506f871e17dbb072480181c3a68a89c12d40b0a1d424876d310ee6e62001,C:\Users\HP Pro Book\Desktop\vk\downloads\0044_EXERCICES AUDIO DE GRAMMAIRE_PAGE 39.ts,,
-43391401_167899285,PAGE 38,EXERCICES AUDIO DE GRAMMAIRE,ok,100,308,308.503444,0.5034440000000018,5162480,.ts,221a9e41d9c3913867907a6a87c4c95ae3ae577ae256723688358b55a8dd473c,C:\Users\HP Pro Book\Desktop\vk\downloads\0045_EXERCICES AUDIO DE GRAMMAIRE_PAGE 38.ts,,
-43391401_167899149,PAGE 37,EXERCICES AUDIO DE GRAMMAIRE,ok,100,259,258.923467,0.07653299999998353,4334152,.ts,7f569ca12486d69ec0d166a9a6603dbc812e0f31547a1a0749700234c1543c82,C:\Users\HP Pro Book\Desktop\vk\downloads\0046_EXERCICES AUDIO DE GRAMMAIRE_PAGE 37.ts,,
-43391401_167899020,PAGE 36,EXERCICES AUDIO DE GRAMMAIRE,ok,100,289,288.990144,0.00985600000001341,4834232,.ts,eb58ee23de4610c4e5196856f9a7ed36c682c1cc4294b452a7b42a808b1368d8,C:\Users\HP Pro Book\Desktop\vk\downloads\0047_EXERCICES AUDIO DE GRAMMAIRE_PAGE 36.ts,,
-43391401_167898851,PAGE 35,EXERCICES AUDIO DE GRAMMAIRE,ok,100,285,285.80678,0.8067800000000034,4574189,.mp3,2054b86963906ddf158c0ecae40680c068bf818383dbe229f504b7f585f42ad3,C:\Users\HP Pro Book\Desktop\vk\downloads\0048_EXERCICES AUDIO DE GRAMMAIRE_PAGE 35.mp3,,
-43391401_167898720,PAGE 34,EXERCICES AUDIO DE GRAMMAIRE,ok,100,310,309.992411,0.007588999999995849,5186544,.ts,3de7d744358b29d7130cef94e2eae684a135496ae8d4c79ed5cd6eec31f97c21,C:\Users\HP Pro Book\Desktop\vk\downloads\0049_EXERCICES AUDIO DE GRAMMAIRE_PAGE 34.ts,,
